_id,name,value,factorTypeId,createdAt
ru8FTrHrAiQZxeft6,solo,1,tkeNXK8RTQQ893aD6,2019-04-16T20:41:58Z
Xet22qJkWxTg5sRzh,double,2,tkeNXK8RTQQ893aD6,2019-04-16T20:41:58Z
6cDZiQuM8cuBXsrtY,group,10,tkeNXK8RTQQ893aD6,2019-04-16T20:41:58Z
j8cPe5ciqqxJx3Zt5,apolitical,1,WgxoewtvrWNpFyqW8,2019-04-16T20:41:58Z
LYCoEdT4Gk2bAnC7T,patriotic,2,WgxoewtvrWNpFyqW8,2019-04-16T20:41:58Z
vjqusSNNvCjkWyrLB,enemy,3,WgxoewtvrWNpFyqW8,2019-04-16T20:41:58Z
nfGimgFnsTynnyzCd,none,0,WqrRhvkhzk76HB6fq,2019-04-16T20:41:58Z
iC2a2adCZBF2c3FXb,single,1,WqrRhvkhzk76HB6fq,2019-04-16T20:41:58Z
DxEXwiPtBbYR89nke,democrat,democrat,iMnQbX3kYzW3rfaX7,2019-04-16T20:41:58Z
pZq5F2SoZ9MWdmuLf,republican,republican,iMnQbX3kYzW3rfaX7,2019-04-16T20:41:58Z
5sJpsMqm6EzCxz9mG,majority,majority,iMnQbX3kYzW3rfaX7,2019-04-16T20:41:58Z
EXnaBFWgrhiz2zkdD,player_opposite_party,opposite,iMnQbX3kYzW3rfaX7,2019-04-16T20:41:58Z
ytjmB9t5TSqXyodpT,player_same_party,same,iMnQbX3kYzW3rfaX7,2019-04-16T20:41:58Z
H8FQh7PAuzdWELdgm,stubborn,stubborn,33dr7jPuxT4Gton5P,2019-04-16T20:41:58Z
eM5jDahLcbrv9Pu4i,friendly,friendly,33dr7jPuxT4Gton5P,2019-04-16T20:41:58Z
yjKgRNSFAF2BjhnTm,hostile,hostile,33dr7jPuxT4Gton5P,2019-04-16T20:41:58Z
