_id,name,factorIds,createdAt,archivedAt
MKtrTHGvLuwFRZyCZ,micro apolitical prime,"Xet22qJkWxTg5sRzh,j8cPe5ciqqxJx3Zt5,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD",2019-04-16T20:41:58Z,2019-03-25T21:50:07Z
DndEc4Ebwgh2qHmW4,micro patriotic prime,"Xet22qJkWxTg5sRzh,LYCoEdT4Gk2bAnC7T,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD",2019-04-16T20:41:58Z,2019-03-25T21:50:07Z
rxfvhC46SvKWGbYNs,micro enemy prime,"Xet22qJkWxTg5sRzh,vjqusSNNvCjkWyrLB,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD",2019-04-16T20:41:58Z,2019-03-25T21:50:07Z
gkoQEStq6QBY62wNE,micro apolitical hostile,"Xet22qJkWxTg5sRzh,j8cPe5ciqqxJx3Zt5,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD,yjKgRNSFAF2BjhnTm",2019-04-16T20:41:58Z,2019-04-16T19:50:03Z
hv52DcJuygvyxLywW,micro apolitical friendly,"Xet22qJkWxTg5sRzh,j8cPe5ciqqxJx3Zt5,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD,eM5jDahLcbrv9Pu4i",2019-04-16T20:41:58Z,
u3gEThX9uiDhF9CNa,micro apolitical stubborn,"Xet22qJkWxTg5sRzh,j8cPe5ciqqxJx3Zt5,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD,H8FQh7PAuzdWELdgm",2019-04-16T20:41:59Z,
3dq6BA6jFRCcDBz29,micro patriotic hostile,"Xet22qJkWxTg5sRzh,LYCoEdT4Gk2bAnC7T,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD,yjKgRNSFAF2BjhnTm",2019-04-16T20:41:59Z,2019-04-16T19:50:04Z
j6H8qCMf8rTfMF6eZ,micro patriotic friendly,"Xet22qJkWxTg5sRzh,LYCoEdT4Gk2bAnC7T,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD,eM5jDahLcbrv9Pu4i",2019-04-16T20:41:59Z,
LZyA5MwjsqCWsH2Dj,micro patriotic stubborn,"Xet22qJkWxTg5sRzh,LYCoEdT4Gk2bAnC7T,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD,H8FQh7PAuzdWELdgm",2019-04-16T20:41:59Z,
pkNQb3TTEypG8yxAN,micro enemy hostile,"Xet22qJkWxTg5sRzh,vjqusSNNvCjkWyrLB,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD,yjKgRNSFAF2BjhnTm",2019-04-16T20:41:59Z,2019-04-16T19:50:06Z
hAS6iJNQqj4spPRQq,micro enemy friendly,"Xet22qJkWxTg5sRzh,vjqusSNNvCjkWyrLB,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD,eM5jDahLcbrv9Pu4i",2019-04-16T20:41:59Z,
DQb22qJp6dvaNgtuE,micro enemy stubborn,"Xet22qJkWxTg5sRzh,vjqusSNNvCjkWyrLB,iC2a2adCZBF2c3FXb,EXnaBFWgrhiz2zkdD,H8FQh7PAuzdWELdgm",2019-04-16T20:41:59Z,
